job_id,industry_id
3835554707,17
3836316446,27
3836316446,22
3836403572,96
3836403572,11
3836403572,84
3831244340,55
3835527723,80
3835527723,100
3835527723,33
3836426241,1594
3836426241,70
3836370605,117
3835269181,104
3831256775,41
3836373186,13
3836072348,27
3836071723,386
3836438257,17
3836438257,15
3836438257,12
3835251467,110
3836376129,96
3831230823,135
3836078310,104
3836393219,4
3836441240,14
3836305979,3
3836305979,1
3836305979,96
3835558448,14
3836330683,44
3836330683,48
3836369724,96
3836412972,3126
3836413752,3242
3836418096,4
3836087992,31
3836087992,32
3836087992,27
3836417407,25
3836417407,49
3835250820,104
3836386814,92
3836386814,116
3836386814,87
3836448378,11
3836448378,27
3835557382,80
3831260355,94
3831260355,52
3835250896,124
3835250896,14
3836368622,36
3835281846,3231
3836323758,146
3836320092,8
3835270020,14
3835523440,96
3836083902,28
3836080360,51
3836396986,96
3836367721,59
3835500235,87
3836419046,4
3835529931,52
3835529931,94
3835560084,25
409080727,1
956952023,47
2674175942,23
2734498552,42
2825636577,48
3311431209,43
3448321947,75
3451867346,19
3456089831,124
3464978992,96
3530928839,96
3568584462,14
3570868102,14
3583053221,43
3611377291,44
3625359369,137
3631343181,116
3643219350,15
3659225162,119
3665941880,4
3696871672,96
3712712952,86
3712712952,1810
3712712952,11
3714043545,68
3716570770,91
3722454523,4
3724474824,80
3727230760,122
3741610181,27
3745430519,27
3745431863,27
3745433531,27
3745433549,27
3745434583,27
3745435112,27
3745436078,27
3755222117,4
3756151522,80
3758101668,50
3761879350,104
3770183756,9
3771496312,14
3772655245,96
3773537221,96
3774860817,100
3775440920,118
3779366060,43
3783670792,43
3784489072,135
3788979855,51
3791282717,94
3792211730,96
3798144964,12
3798144964,15
3799982587,12
3799982587,15
3799982587,70
3801654703,9
3801922706,147
3801922706,55
3801922706,135
3803444442,96
3804410645,86
3805287625,85
3806161637,4
3806468961,10
3809021191,57
3809098529,4
3811249633,14
3812238861,41
3812238861,43
3812238861,45
3812601045,75
3813463932,14
3813577213,14
3813832951,104
3814126501,14
3814622463,12
